time_s,tcp_x,tcp_y,tcp_z,waypoint,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,tau0,tau1,tau2,tau3,tau4,tau5,jerk_x,jerk_y,jerk_z
5.300000,0.739600,0.162800,0.379200,0,0.095500,-0.791313,0.191000,-0.360000,-0.330000,-0.720000,0.039723,-0.858479,0.505358,-1.217673,-1.570796,0.039727,-1.065440,-0.034319,-0.458542,0.492861,-0.000003,-1.065440,-1.026734,-43.911190,-17.927850,-1.669391,-0.018005,0.000000,-1.200000,1.650000,-2.400000
5.350000,0.743925,0.122822,0.387850,0,0.076000,-0.805750,0.152000,-0.420000,-0.247500,-0.840000,-0.014102,-0.858758,0.482240,-1.194276,-1.570796,-0.014098,-1.083914,0.013544,-0.440273,0.426729,-0.000003,-1.083914,-0.742189,-43.855846,-17.602716,-1.644535,-0.014517,0.000000,-1.200000,1.650000,-2.400000
5.400000,0.747200,0.082225,0.394400,0,0.053500,-0.816062,0.107000,-0.480000,-0.165000,-0.960000,-0.068668,-0.857125,0.461331,-1.175000,-1.570797,-0.068665,-1.095304,0.038164,-0.362774,0.324609,-0.000003,-1.095304,-0.437032,-44.022457,-17.309461,-1.619650,-0.011385,0.000000,-1.200000,1.650000,-2.400000
5.450000,0.749275,0.041216,0.398550,0,0.028000,-0.822250,0.056000,-0.535000,-0.082500,-1.070000,-0.123632,-0.854941,0.445963,-1.161815,-1.570797,-0.123628,-1.100138,0.032813,-0.213516,0.180703,-0.000003,-1.100138,-0.121049,-44.310044,-17.075808,-1.597120,-0.008580,0.000000,-1.200000,1.650000,-2.400000
5.500000,0.750000,0.000000,0.400000,3,0.000000,-0.824313,0.000000,-0.560000,-0.000000,-1.120000,-0.178682,-0.853844,0.439979,-1.156929,-1.570797,-0.178678,-1.099036,-0.000022,0.000046,-0.000024,-0.000003,-1.099036,0.164812,-44.478914,-16.980700,-1.586825,-0.005750,0.000000,1.200000,1.650000,2.400000
5.550000,0.749275,-0.041216,0.398550,0,-0.028000,-0.822250,-0.056000,-0.535000,0.082500,-1.070000,-0.233536,-0.854944,0.445967,-1.161817,-1.570797,-0.233532,-1.091919,-0.032864,0.213623,-0.180760,-0.000003,-1.091919,0.376523,-44.364581,-17.083130,-1.595996,-0.002487,0.000000,1.200000,1.650000,2.400000
5.600000,0.747200,-0.082225,0.394400,0,-0.053500,-0.816062,-0.107000,-0.480000,0.165000,-0.960000,-0.287874,-0.857130,0.461342,-1.175005,-1.570797,-0.287870,-1.078126,-0.038213,0.362877,-0.324665,-0.000003,-1.078126,0.531090,-44.133949,-17.323989,-1.617352,0.001212,0.000000,1.200000,1.650000,2.400000
5.650000,0.743925,-0.122822,0.387850,0,-0.076000,-0.805750,-0.152000,-0.420000,0.247500,-0.840000,-0.341348,-0.858765,0.482255,-1.194284,-1.570797,-0.341345,-1.057293,-0.013569,0.440325,-0.426758,-0.000003,-1.057293,0.679093,-44.028197,-17.624199,-1.640968,0.005192,0.000000,1.200000,1.650000,2.400000
5.700000,0.739600,-0.162800,0.379200,0,-0.095500,-0.791313,-0.191000,-0.360000,0.330000,-0.720000,-0.393603,-0.858487,0.505374,-1.217681,-1.570797,-0.393600,-1.029403,0.034320,0.458541,-0.492862,-0.000003,-1.029403,0.844429,-44.147111,-17.955674,-1.664462,0.009376,0.000000,1.200000,1.650000,2.400000
5.750000,0.734375,-0.201953,0.368750,0,-0.112000,-0.772750,-0.224000,-0.300000,0.412500,-0.600000,-0.444289,-0.855333,0.528109,-1.243570,-1.570797,-0.444285,-0.994693,0.097598,0.432049,-0.529648,-0.000002,-0.994693,1.038061,-44.511171,-18.304569,-1.687580,0.013726,0.000000,1.200000,1.650000,2.400000
5.800000,0.728400,-0.240075,0.356800,0,-0.125500,-0.750063,-0.251000,-0.240000,0.495000,-0.480000,-0.493072,-0.848727,0.548579,-1.270646,-1.570798,-0.493069,-0.953611,0.169062,0.373866,-0.542929,-0.000002,-0.953611,1.266359,-45.110919,-18.659373,-1.710191,0.018210,0.000000,1.200000,1.650000,2.400000
5.850000,0.721825,-0.276959,0.343650,0,-0.136000,-0.723250,-0.272000,-0.180000,0.577500,-0.360000,-0.539650,-0.838427,0.565496,-1.297863,-1.570798,-0.539646,-0.906765,0.242654,0.294664,-0.537319,-0.000002,-0.906765,1.532671,-45.924626,-19.011486,-1.732272,0.022798,0.000000,1.200000,1.650000,2.400000
5.900000,0.714800,-0.312400,0.329600,0,-0.143500,-0.692312,-0.287000,-0.120000,0.660000,-0.240000,-0.583749,-0.824462,0.578046,-1.324378,-1.570798,-0.583745,-0.854858,0.313413,0.203062,-0.516476,-0.000002,-0.854858,1.838252,-46.926023,-19.355099,-1.753854,0.027464,0.000000,1.200000,1.650000,2.400000
5.950000,0.707475,-0.346191,0.314950,0,-0.148000,-0.657250,-0.296000,-0.060000,0.742500,-0.120000,-0.625136,-0.807085,0.585802,-1.349511,-1.570798,-0.625132,-0.798620,0.377266,0.106194,-0.483461,-0.000002,-0.798620,2.182655,-48.086927,-19.686840,-1.775003,0.032188,-0.000000,1.200000,1.650000,2.400000
