method,log10_lambda1,log10_lambda2,log10_lambda3,log10_lambda4,log10_lambda5,log10_lambda6,log10_eta1,log10_eta2,log10_eta3,log10_eta4,log10_eta5,log10_eta6,phi1,phi2,phi3,phi4,phi5,phi6,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,eta1,eta2,eta3,eta4,eta5,eta6,phi1,phi2,phi3,phi4,phi5,phi6,f1_iae_m_s,f2_effort_N2m2s,f3_tv_Nm,g1_tau,g2_dq,g3_chi,g4_tcp,g5_alcance
nsga2,1.992215523,1.997704636,1.859784054,2.030795301,2.108012901,1.585401809,0.4349411601,0.6511869709,0.4370625804,-0.1265006125,-0.5202720991,-1.377399981,0.09882042833,0.07635402108,0.7168468299,0.3746625333,0.2451875373,0.8736771682,98.22352671,99.47286716,72.40758353,107.3483322,128.2368675,38.49477707,2.722332451,4.479060936,2.735662898,0.7473075802,0.3018060219,0.04193725682,0.09882042833,0.07635402108,0.7168468299,0.3746625333,0.2451875373,0.8736771682,0.006564441596,66217.12876,4791.96491,-24.32457175,-2.899398689,-0.01733678127,-0.6491840961,-0.01386507743
nsga2,1.910378761,1.74469456,1.849509153,2.030189065,2.23515966,1.571554408,0.1907033337,0.6509474605,0.3875879674,-0.1689419689,-0.522234236,-1.377357605,0.1735196205,0.124307443,0.5426414751,0.4589049308,0.3883168329,0.8823916809,81.35397181,55.55134262,70.71461037,107.198588,171.854006,37.28673944,1.551326938,4.476591446,2.441113471,0.6777320611,0.3004455418,0.04194134901,0.1735196205,0.124307443,0.5426414751,0.4589049308,0.3883168329,0.8823916809,0.007924031662,66207.52284,1557.094079,-25.13633708,-2.938334631,-0.3004225264,-0.543833717,-0.006777225468
nsga2,2.066716747,1.80241197,2.037916233,2.03524538,2.117839382,2.102092592,0.4492107102,0.5812712509,0.3554499793,-0.1712198717,-0.5241330537,-1.376276399,0.6948774012,0.5753984354,0.5760315117,0.4553184361,0.3488560544,0.8805891415,116.6048854,63.44712835,109.1229839,108.4539515,131.1714689,126.5006019,2.813265434,3.813039031,2.266991957,0.6741866187,0.2991348045,0.04204589495,0.6948774012,0.5753984354,0.5760315117,0.4553184361,0.3488560544,0.8805891415,0.01310040427,66185.5666,927.9142056,-25.18076572,-2.938527786,-0.3752679117,-0.1476336581,-0.003231783031
nsga2,2.063283848,1.99707453,1.850673552,2.029800099,2.108012901,1.58477881,0.4330597887,0.6511992976,0.3873672661,-0.09707008501,-0.5202714388,-1.550970086,0.08731567393,0.1172627768,0.7260374503,0.3746288207,0.2441446439,0.8734614476,115.6868107,99.32864937,70.90445966,107.102621,128.2368675,38.43959559,2.710564766,4.479188068,2.439873253,0.7997051908,0.3018064807,0.02812094517,0.08731567393,0.1172627768,0.7260374503,0.3746288207,0.2441446439,0.8734614476,0.006459528946,66231.33388,10572.71336,-24.1705741,-2.849821173,-0.2431294604,-0.659438666,-4.876577263e-05
nsga2,2.07316922,1.803334831,1.998923214,2.0320837,2.037376943,1.500144869,0.4697660885,1.037881805,0.4209264593,-0.1248780927,-0.3055687744,-1.377355003,0.1695054672,0.3714238898,0.540597096,0.3781931739,0.3583255021,0.8813301743,118.350261,63.58209465,99.75236786,107.6672696,108.9875632,31.63332686,2.94962013,10.91143336,2.635885004,0.7501047356,0.4948017485,0.04194160031,0.1695054672,0.3714238898,0.540597096,0.3781931739,0.3583255021,0.8813301743,0.008117137481,66202.15012,3359.008888,-24.46721895,-2.861965094,-0.1845508785,-0.5295880308,-0.01386942091
nsga2,1.902176602,1.751615405,2.037948655,2.023804991,2.086148596,2.018993608,0.4552630109,0.5812712509,0.349679029,-0.1712198717,-0.3093375713,-1.299111548,0.6948774012,0.5758504453,0.5441172666,0.4603325965,0.4232765415,0.8805951329,79.83192511,56.44369098,109.1311306,105.6343078,121.9406753,104.4704844,2.852745381,3.813039031,2.237067194,0.6741866187,0.4905264482,0.05022135804,0.6948774012,0.5758504453,0.5441172666,0.4603325965,0.4232765415,0.8805951329,0.01397395352,66182.15584,1170.168888,-25.19160028,-2.937640504,-0.2879132552,-0.07978025159,-0.003231783031
nsga2,1.90552826,1.809307991,2.022572485,2.035193339,2.087761408,2.096004108,0.1893486412,0.5880977083,0.4332871929,-0.1694089537,-0.306519561,-1.377683647,0.2386934263,0.5503485846,0.5590418489,0.4617657063,0.3986247535,0.8818012868,80.45040972,64.4626257,105.334948,108.4409564,122.3943607,124.7395313,1.546495431,3.873447806,2.711984437,0.6770037064,0.4937196802,0.04190987383,0.2386934263,0.5503485846,0.5590418489,0.4617657063,0.3986247535,0.8818012868,0.01212468948,66187.31297,1218.535696,-25.18434212,-2.93831777,-0.2574044393,-0.221960378,-0.00604887079
nsga2,2.000058965,1.774769479,2.001519993,1.994503418,2.037379398,2.114261374,0.4840591549,1.021731364,0.3442857398,-0.12482767,-0.3055687744,-1.483594716,0.1709613383,0.3726779331,0.540420952,0.4157342535,0.3582973053,0.8813301743,100.0135782,59.53460532,100.3506045,98.74234074,108.9881795,130.0952301,3.048310169,10.51311377,2.209457946,0.7501918297,0.4948017485,0.03284016147,0.1709613383,0.3726779331,0.540420952,0.4157342535,0.3582973053,0.8813301743,0.008620984373,66199.48932,1447.814633,-25.09481338,-2.943042215,-0.2030521442,-0.4916472633,-0.004767982076
nsga2,2.072761572,1.801651283,1.998923214,1.996064217,2.037379398,2.114261374,0.4811744205,1.021731364,0.4206898998,-0.1248766195,-0.3055687744,-1.378036217,0.07412324358,0.3726779331,0.540597096,0.3781931739,0.3583255021,0.8813301743,118.2392244,63.33609489,99.75236786,99.09784646,108.9881795,130.0952301,3.028129335,10.51311377,2.634449632,0.7501072802,0.4948017485,0.04187586419,0.07412324358,0.3726779331,0.540597096,0.3781931739,0.3583255021,0.8813301743,0.008280906005,66200.66052,2534.019582,-24.93445241,-2.943040474,-0.1976548817,-0.5175926854,-0.0138036848
nsga2,2.072404757,1.801651283,1.998923214,2.034372697,2.036820694,2.114261374,0.4811744205,1.021731364,0.296223855,-0.124728996,-0.3055687744,-1.378036217,0.757254617,0.3726779331,0.5429998018,0.3783576868,0.3583255021,0.8813334613,118.1421193,63.33609489,99.75236786,108.2362399,108.8480602,130.0952301,3.028129335,10.51311377,1.977988922,0.7503622967,0.4948017485,0.04187586419,0.757254617,0.3726779331,0.5429998018,0.3783576868,0.3583255021,0.8813334613,0.008210998706,66201.56803,2928.44525,-24.46328641,-2.89166677,-0.2019466812,-0.5228258128,-0.0138036848
