method,log10_lambda1,log10_lambda2,log10_lambda3,log10_lambda4,log10_lambda5,log10_lambda6,log10_eta1,log10_eta2,log10_eta3,log10_eta4,log10_eta5,log10_eta6,phi1,phi2,phi3,phi4,phi5,phi6,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,eta1,eta2,eta3,eta4,eta5,eta6,phi1,phi2,phi3,phi4,phi5,phi6,f1_iae_m_s,f2_effort_N2m2s,f3_tv_Nm,g1_tau,g2_dq,g3_chi,g4_tcp
nsga2,1.530340184,2.084975686,2.172823758,2.27137804,2.236076809,0.9502664193,0.5686900109,-1.260528045,-0.2222439443,-0.5623558461,-0.6514051506,-2.00957314,0.8745248405,0.5716082961,0.8039930231,0.5273041914,0.2897070302,0.9959110683,33.91096775,121.6117913,148.8756799,186.8005026,172.2173132,8.917978466,3.704162331,0.05488731103,0.5994542666,0.2739328739,0.2231489509,0.009781982015,0.8745248405,0.5716082961,0.8039930231,0.5273041914,0.2897070302,0.9959110683,0.01008020709,66196.03553,1999.943846,-25.11916697,-2.939111181,-0.4035664604,-0.3841453452
nsga2,1.515520869,2.220733205,2.238665066,2.27131511,2.228573176,0.8970245073,0.6870279407,-1.256628669,-0.223087748,-0.3056051207,-0.6495559621,-1.974133751,0.8234032286,0.984995951,0.6179905735,0.4823517174,0.2867889256,0.9940982143,32.77335247,166.2391099,173.2467377,186.7734365,169.2673426,7.889046344,4.864385001,0.05538234372,0.5982906998,0.49476034,0.2241011256,0.01061368634,0.8234032286,0.984995951,0.6179905735,0.4823517174,0.2867889256,0.9940982143,0.01133087022,66190.87968,2472.781083,-24.58662102,-2.943047354,-0.3995379931,-0.2863247638
nsga2,1.512833297,2.096641953,2.245967789,2.288685993,2.049702471,1.011685265,0.9325387888,-1.152346025,-0.2204842275,-2.371150628,-0.6308553995,-1.455320026,0.4567245463,0.1240826393,0.5673357645,0.4726207823,0.3198554717,0.988598416,32.5711653,124.92287,176.1845368,194.3954042,112.1250039,10.27271561,8.561281729,0.07041318276,0.6018881216,0.004254508271,0.2339616096,0.0350493505,0.4567245463,0.1240826393,0.5673357645,0.4726207823,0.3198554717,0.988598416,0.01062827682,66210.00113,1172.213794,-25.19638176,-2.937578677,-0.4083483497,-0.3333704247
nsga2,1.535342707,2.123360217,2.170950348,2.271224946,2.348421198,0.8950384903,0.5545546413,-1.20616626,-0.2352283993,-0.3516958307,-0.6398635766,-1.449025592,0.5076867254,0.5914458272,0.5571446798,0.4944300917,0.3138309413,0.9859273302,34.30383757,132.8495895,148.2348601,186.7346645,223.0597434,7.85305231,3.585540574,0.0622062097,0.581797165,0.4449427855,0.2291587388,0.03556103627,0.5076867254,0.5914458272,0.5571446798,0.4944300917,0.3138309413,0.9859273302,0.00914765159,66198.36684,4159.205534,-24.85567293,-2.943044384,-0.4082846641,-0.451204437
nsga2,1.885647909,2.046955611,2.240893614,2.266803922,2.377751329,0.9613285579,0.6007573789,-0.6545617813,-0.2219658992,-0.3282866892,-0.7551318554,-1.986248347,0.924174586,0.5715263422,0.779099505,0.7500223761,0.3140620725,0.9757725344,76.8507144,111.4180649,174.1380249,184.8433886,238.6444448,9.148050595,3.988020471,0.2215328928,0.5998381737,0.4695840216,0.1757389975,0.01032170999,0.924174586,0.5715263422,0.779099505,0.7500223761,0.3140620725,0.9757725344,0.01047850296,66194.41184,1486.208006,-25.18365909,-2.934321879,-0.4692012987,-0.3510284239
nsga2,1.974397793,2.0764451,2.254608382,2.284102839,2.241392386,0.9766306806,0.551503832,-1.256683629,-0.05409502982,-0.3056612419,-0.6494080149,-1.558067036,0.4006211342,0.9925068557,0.56735021,0.7485714837,0.2857515894,0.9858872714,94.27527166,119.2463515,179.7249545,192.3547164,174.3381311,9.476122811,3.560441316,0.05537533558,0.8828866911,0.4946964093,0.2241774811,0.02766514587,0.4006211342,0.9925068557,0.56735021,0.7485714837,0.2857515894,0.9858872714,0.01417012891,66181.10697,1193.248135,-25.17832047,-2.937062785,-0.3984849492,-0.06528345
nsga2,1.910101637,2.173910638,2.239933437,2.266944986,2.042535771,1.330025334,0.5336547375,-0.7173215805,-0.2361924294,-2.538510922,-0.5913866646,-1.937948572,0.5097404793,0.5460381451,0.5760060047,0.7701433701,0.4303770719,0.9518106748,81.30207643,149.2487279,173.7534502,184.9034377,110.289907,21.38086807,3.417076782,0.1917248557,0.5805071464,0.002893937034,0.256220182,0.01153589856,0.5097404793,0.5460381451,0.5760060047,0.7701433701,0.4303770719,0.9518106748,0.01495894293,66201.16458,722.4133148,-25.32277578,-2.928159602,-0.5001402349,-0.006295782274
nsga2,1.958525447,2.170866881,2.243898502,2.271294133,2.193001461,1.330025334,0.5545795486,-0.4178602837,-0.2207751936,-0.2843102131,-0.5025384855,-2.036743773,0.5226665967,0.9899813636,0.6411816885,0.5442823114,0.3535955062,0.9869343162,90.8919554,148.2063737,175.3470656,186.7644155,155.9557748,21.38086807,3.585746214,0.3820671654,0.6014850071,0.5196247001,0.3143847812,0.009188745592,0.5226665967,0.9899813636,0.6411816885,0.5442823114,0.3535955062,0.9869343162,0.01195521382,66187.89371,1557.375379,-24.98487289,-2.943045525,-0.3748458669,-0.2343260363
nsga2,1.922329906,2.084986257,2.238587127,2.266770463,2.080214211,0.9449300068,0.5517747249,-0.8271462982,-0.2359951619,-0.5589830718,-0.6500779184,-1.419109849,0.8334749483,0.9879104185,0.6224340949,0.5302084942,0.2900067857,0.9515698677,83.6238014,121.6147516,173.2156496,184.8291484,120.2857586,8.809068899,3.562662848,0.148885945,0.5807708874,0.2760685462,0.2238319517,0.03809694502,0.8334749483,0.9879104185,0.6224340949,0.5302084942,0.2900067857,0.9515698677,0.01455167077,66182.04914,959.9047517,-25.1609885,-2.938627822,-0.4189659499,-0.0384145168
nsga2,1.517282111,2.040614541,2.239306435,2.271869162,2.169814727,0.7502020623,1.073106718,-0.8413023978,-0.2254284175,-0.28471606,-0.6292319742,-1.49625651,0.822666074,0.07720873515,0.7703244286,0.7394406162,0.3124183241,0.9718857734,32.90653175,109.8030848,173.5027789,187.0118651,147.8477523,5.626030242,11.83332298,0.1441111561,0.5950748317,0.5191393393,0.2348378122,0.03189653374,0.822666074,0.07720873515,0.7703244286,0.7394406162,0.3124183241,0.9718857734,0.008755436774,66211.14914,1381.567422,-25.18858232,-2.936423195,-0.202009507,-0.4776389097
epsilon,1.689224221,2.12153221,2.322962766,2.334672432,2.328738049,1.013644175,0.7604486795,-0.6821684145,-0.3133743134,-0.6689162208,-0.6325627715,-1.436686221,0.4733468814,0.1347390648,0.9273587736,0.4191726874,0.2984165134,0.986618964,48.89047096,132.2915819,210.3598082,216.10879,213.1758727,10.31915593,5.760347446,0.2078890361,0.4859881576,0.2143304023,0.2330436258,0.03658590299,0.4733468814,0.1347390648,0.9273587736,0.4191726874,0.2984165134,0.986618964,0.00643383087,66211.76313,3977.337306,-24.79750594,-2.943039551,-0.3903210665,-0.656913692
epsilon,1.62560978,1.985303458,2.126643466,2.155030349,2.137822511,1.013750089,0.6183332107,-0.6776114138,-0.2494367212,-0.2041134404,-0.7240621401,-1.374213362,0.4572576964,0.1311426939,0.8842523842,0.4562547834,0.1692388162,0.9763458917,42.2289011,96.67261315,133.8577332,142.8993816,137.3480542,10.32167284,4.152725366,0.2100818756,0.5630711536,0.6250094152,0.1887721229,0.04224610149,0.4572576964,0.1311426939,0.8842523842,0.4562547834,0.1692388162,0.9763458917,0.006814822231,66208.80264,1680.561504,-25.02830704,-2.943040851,-0.2594777669,-0.6305435047
epsilon,1.577193056,2.047329839,2.165983681,2.186851834,2.253887324,0.8790005323,0.9535912217,-1.202904322,-0.194894644,-0.3138695526,-0.7791692898,-1.449329832,0.9137366742,0.2797415114,0.7825438368,0.4553820188,0.1834096374,0.9650799466,37.77400699,111.5141143,146.5492774,153.7629965,179.4268051,7.568338227,8.986513306,0.06267519269,0.6384183421,0.4854342863,0.1662764371,0.03553613314,0.9137366742,0.2797415114,0.7825438368,0.4553820188,0.1834096374,0.9650799466,0.007445722219,66204.00309,1589.518027,-25.09206354,-2.941280654,-0.3207147724,-0.5821497498
epsilon,1.951585856,1.768423576,2.065567461,2.0858054,1.972498821,0.9729167401,0.7837429059,-1.14747489,-0.1824424789,-0.01240714112,-0.5202309896,-1.453102787,0.3539420722,0.1805058099,0.5303048024,0.56851868,0.2124704427,0.7798408671,89.45113505,58.67101155,116.2967186,121.8443513,93.86394894,9.395431706,6.077751035,0.0712073969,0.656988127,0.9718357229,0.3018345916,0.03522874832,0.3539420722,0.1805058099,0.5303048024,0.56851868,0.2124704427,0.7798408671,0.008283165723,66201.53186,1091.163201,-25.12354671,-2.940713757,-0.1805875092,-0.5173449307
