method,log10_lambda1,log10_lambda2,log10_lambda3,log10_lambda4,log10_lambda5,log10_lambda6,log10_eta1,log10_eta2,log10_eta3,log10_eta4,log10_eta5,log10_eta6,phi1,phi2,phi3,phi4,phi5,phi6,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,eta1,eta2,eta3,eta4,eta5,eta6,phi1,phi2,phi3,phi4,phi5,phi6,f1_iae_m_s,f2_effort_N2m2s,f3_tv_Nm,g1_tau,g2_dq,g3_chi,g4_tcp,g5_alcance,g6_G
nsga2,1.471139198,1.040762651,1.495031861,1.69814412,2.284023374,1.459021281,0.4131142292,0.5598476937,0.6364059494,-0.1674454078,-0.6462833271,-1.414775391,0.3422178228,0.2376387931,0.2320022559,0.5328534985,0.5151519944,0.9576371765,29.5896071,10.98405378,31.26308711,49.90500693,192.3195233,28.77539412,2.588893763,3.629507463,4.32918305,0.6800715268,0.2257962229,0.03847907368,0.3422178228,0.2376387931,0.2320022559,0.5328534985,0.5151519944,0.9576371765,0.02656382739,66148.86604,973.2698782,-25.36213185,-2.925156894,-0.4313613965,-0.1161530214,-0.009116691155,-0.01530025312
nsga2,1.470546867,1.005314249,1.899582346,1.697637191,2.332503673,1.427887187,0.3018635535,0.5384291008,0.5780932432,-0.03159504042,-0.4202848803,-1.43085766,0.3373260841,0.2335258143,0.2315675868,0.5422668059,0.5814943161,0.9208495369,29.54927755,10.12311683,79.35647087,49.84678944,215.0322865,26.78472471,2.003842362,3.454849241,3.785238452,0.9298330091,0.3799400886,0.03708022326,0.3373260841,0.2335258143,0.2315675868,0.5422668059,0.5814943161,0.9208495369,0.02789936693,66143.13186,2216.057278,-25.34413857,-2.930577113,-0.4341117933,-0.01243639046,-0.009008043869,-0.02497793588
nsga2,1.426359148,1.022093366,1.641377748,1.711730028,2.248135023,1.395339743,0.1346033219,0.5840675276,0.4449491017,-0.1001222069,-0.634356586,-1.428752098,0.337101632,0.2371717994,0.2027140664,0.558964056,0.581019116,0.4208053436,26.69064984,10.52188052,43.79028264,51.49084603,177.0659372,24.85076386,1.363337316,3.83766912,2.785794661,0.7941047487,0.232083045,0.03726043336,0.337101632,0.2371717994,0.2027140664,0.558964056,0.581019116,0.4208053436,0.02746936929,66146.25229,933.3572519,-25.35324827,-2.926439279,-0.05535773018,-0.04710311768,-0.009188253961,-0.01996348972
nsga2,1.348126804,1.021716084,1.867740992,1.712236209,2.242648116,1.426652263,0.1843274051,0.5372261409,0.3473705945,0.02971885997,-0.5841210418,-1.331552545,0.3358881002,0.2381341388,0.2315621921,0.5462750398,0.4805975102,0.997430764,22.29085897,10.51274388,73.74642834,51.55089497,174.8429461,26.70867005,1.528718091,3.445292835,2.225207907,1.070825883,0.2605427293,0.04660660356,0.3358881002,0.2381341388,0.2315621921,0.5462750398,0.4805975102,0.997430764,0.02796228715,66143.66757,1580.085123,-25.31303203,-2.933201272,-0.3834555379,-0.007328252083,-0.01807443252,-0.02989288806
nsga2,1.49506838,1.023144935,1.642919662,1.684157739,2.327950715,1.425856012,0.1960374079,0.5388751287,0.3532191103,0.01388982293,-0.4170189886,-1.121010702,0.3426919093,0.2379381805,0.1865421982,0.5417973291,0.5506493358,0.9901978402,31.26571608,10.54738831,43.94603146,48.32342842,212.7897555,26.65974628,1.570498073,3.458399253,2.255376808,1.032499436,0.3828080055,0.0756814245,0.3426919093,0.2379381805,0.1865421982,0.5417973291,0.5506493358,0.9901978402,0.02744804491,66144.5279,1629.040127,-25.32517279,-2.932819787,-0.1504460414,-0.04571429994,-0.03118085076,-0.03506209021
nsga2,1.496056734,1.042113686,1.647679998,1.713984076,2.333021291,1.523621599,0.1861870433,0.5828827458,0.5398748309,-0.09997249773,-0.5055477123,-1.403858204,0.3102602526,0.2372409967,0.2304158817,0.6855427384,0.4841095016,0.9897285682,31.33695068,11.01827698,44.43037697,51.75878535,215.2887277,33.39039826,1.535278059,3.827213992,3.466369309,0.7943785382,0.3122139384,0.03945861123,0.3102602526,0.2372409967,0.2304158817,0.6855427384,0.4841095016,0.9897285682,0.02580772341,66150.46788,1253.753476,-25.40949056,-2.920911767,-0.4372402879,-0.1750960876,-0.01138643183,-0.005696140142
nsga2,1.395950898,1.018412096,1.841541853,1.698312832,2.306735477,1.427409029,0.3360915879,0.5383235363,0.3496727098,0.02361465939,-0.5386629535,-1.333487989,0.3246498997,0.2372232248,0.2284619973,0.5462750398,0.4845660999,0.9858883595,24.8857594,10.43306939,69.42915071,49.92439751,202.6448061,26.75525099,2.168161298,3.454009568,2.237034644,1.055880233,0.2892924147,0.04639936226,0.3246498997,0.2372232248,0.2284619973,0.5462750398,0.4845660999,0.9858883595,0.02777828507,66143.6366,1692.388691,-25.32105581,-2.932552047,-0.380810047,-0.02078298422,-0.01832718286,-0.03045765023
nsga2,1.39247595,1.040901268,1.623701166,1.831968402,2.284477023,1.510544604,0.2991236361,0.582684873,0.4168635943,0.0171249482,-0.6200883012,-1.429030958,0.1640786516,0.2371997424,0.198017666,0.9103009841,0.5501712606,0.9312892243,24.6874339,10.98756022,42.04372299,67.91542169,192.5205189,32.39996972,1.99124013,3.825470639,2.611341041,1.040219398,0.2398345235,0.03723651619,0.1640786516,0.2371997424,0.198017666,0.9103009841,0.5501712606,0.9312892243,0.02617555185,66149.42281,941.7255081,-25.35807853,-2.920876927,-0.4363364168,-0.1454726344,-0.009164336792,-0.002889099086
nsga2,1.471085778,1.040809412,1.63984703,1.712498924,2.231373338,1.516835202,0.1830528654,0.6045154549,0.2757626114,0.01916095675,-0.6466925787,-1.110863516,0.3423290499,0.2371802346,0.3434586696,0.9128249011,0.5467530903,0.9576940093,29.58596763,10.98523651,43.63621064,51.58208868,170.3622384,32.87268682,1.524238284,4.022679709,1.886959641,1.045107482,0.2255835471,0.07747052236,0.3423290499,0.2371802346,0.3434586696,0.9128249011,0.5467530903,0.9576940093,0.02685135432,66152.04303,630.9667576,-25.43636556,-2.910289888,-0.1154325784,-0.09770232964,-0.014999198,-0.001130007942
nsga2,1.471904654,1.04080949,1.63984703,1.712531584,2.230041875,1.387522763,0.1830528654,0.5832187375,0.2757626114,0.02239167703,-0.6464824429,-1.120492283,0.3304534102,0.2371802346,0.3434586696,0.9137078856,0.5467530903,0.9225510579,29.64180558,10.98523849,43.63621064,51.58596797,169.8407406,24.40746996,1.524238284,3.830176061,1.886959641,1.052911034,0.2256927234,0.07577181975,0.3304534102,0.2371802346,0.3434586696,0.9137078856,0.5467530903,0.9225510579,0.02705178315,66151.32265,629.686661,-25.43507407,-2.910580276,-0.1057126859,-0.08221673681,-0.01510837427,-0.007879123828
