method,log10_lambda1,log10_lambda2,log10_lambda3,log10_lambda4,log10_lambda5,log10_lambda6,log10_eta1,log10_eta2,log10_eta3,log10_eta4,log10_eta5,log10_eta6,phi,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,eta1,eta2,eta3,eta4,eta5,eta6,phi,f1_iae_m_s,f2_effort_N2m2s,f3_tv_Nm,g1_tau,g2_dq,g3_chi,g4_tcp
nsga2,1.571494616,2.007409127,1.944380483,1.987414196,2.227676631,2.191177275,1.143502171,1.345556458,0.6816346336,0.2858422467,-0.1510107142,-2.464672538,0.9619588992,37.28160628,101.72065,87.97929608,97.14360045,168.9182724,155.302081,13.91560752,22.15932146,4.804349946,1.931266675,0.7063001294,0.003430263341,0.9619588992,0.009559479274,66199.85958,1148.594559,-25.26935267,-2.933103033,-0.4564992285,-0.4238776366
nsga2,1.571494616,2.007409127,1.9413394,1.987842808,2.196171592,2.190620942,1.143502171,1.345556458,0.4458513965,0.2858422467,-0.1430478916,-2.464672538,0.67627344,37.28160628,101.72065,87.36538603,97.23952033,157.0983385,155.1032656,13.91560752,22.15932146,2.791588474,1.931266675,0.7193696455,0.003430263341,0.67627344,0.007487854617,66204.60406,2913.867313,-24.71081854,-2.943044023,-0.3283971393,-0.5805392579
nsga2,1.558559611,1.736734466,1.976537049,1.969664166,2.140256651,1.932779486,1.141886325,1.24753957,0.67073956,0.2630246022,-0.1417347939,-1.501506778,0.6457544087,36.18758579,54.54242793,94.74080024,93.25329064,138.1200258,85.66027928,13.86392897,17.68233318,4.68532326,1.832418223,0.7215479648,0.03151325199,0.6457544087,0.01033575341,66193.59763,2692.037707,-24.78596625,-2.943042625,-0.3097730328,-0.358642402
nsga2,1.564482355,1.770704465,1.996589019,1.969505165,2.196200277,2.185348748,0.64206067,1.211099209,1.01095434,0.09270048359,-0.1520617894,-1.416965241,0.6715255914,36.68447899,58.97995888,99.21766883,93.21915573,157.1087153,153.2317454,4.385919639,16.25920136,10.25544099,1.23794253,0.7045928157,0.03828553839,0.6715255914,0.01045049236,66193.02001,1913.562922,-25.24423948,-2.935790102,-0.3013373669,-0.350282407
nsga2,1.566142966,2.009102256,1.976537049,1.969664166,2.132175725,2.234427346,1.43705922,1.46604013,0.4508746562,0.2643511935,-0.1417339914,-1.385303528,0.6901923199,36.82501784,102.1179896,94.74080024,93.25329064,135.5737862,171.5644672,27.35641731,29.24422589,2.82406479,1.838024066,0.7215492982,0.04118096056,0.6901923199,0.007705784789,66205.30306,2580.805195,-25.03757363,-2.373579459,-0.169330886,-0.5634172892
nsga2,1.526888009,1.757005718,1.958284304,2.131938649,2.203315009,2.253847546,1.141551319,1.253914434,1.167886542,0.2687445519,-0.01552256126,-1.312282504,0.9836062847,33.64248048,57.14861607,90.84150143,135.4997985,159.7037113,179.4103718,13.85323874,17.94380059,14.71927917,1.856712032,0.9648891853,0.04872114614,0.9836062847,0.01331270858,66183.9234,2216.891077,-25.05847573,-2.940728656,-0.3605901438,-0.1279930217
nsga2,1.564270152,1.761865999,1.778157343,1.999677156,2.262080494,2.179785246,0.9950656421,1.221055623,1.305549802,0.4377129247,-0.01683214622,-1.365921159,0.9992000934,36.66655875,57.79177045,60.00084173,99.92569011,182.8439077,151.2812992,9.887025224,16.63625709,20.20923167,2.739762548,0.9619840111,0.04306047742,0.9992000934,0.01379627964,66183.69679,3335.988488,-24.92143304,-2.943048008,-0.3711499591,-0.09083258245
nsga2,2.263785536,1.770704465,1.756158555,1.969544809,2.250500531,2.190587981,1.132840457,1.21301229,1.014642745,0.2645610097,-0.1427636069,-1.498943705,0.8911382248,183.5631645,58.97995888,57.03724693,93.22766536,178.0330087,155.0914944,13.57814547,16.33098164,10.34290999,1.838912266,0.7198406917,0.03169978344,0.8911382248,0.01282875511,66186.74325,1158.038454,-25.21556229,-2.935014723,-0.4281178124,-0.1690275448
nsga2,1.547742678,1.770716545,1.982117664,1.984138264,2.271891092,2.202149473,0.64206067,1.113089407,1.206688282,0.4353966102,-0.1457731976,-1.488807178,0.9401718999,35.29739685,58.98159944,95.9660599,96.4135921,187.0213086,159.2756818,4.385919639,12.97446345,16.09489998,2.725188893,0.7148695563,0.03244836522,0.9401718999,0.01438148319,66181.37902,2646.439866,-24.8895407,-2.94304328,-0.4412781717,-0.04666708471
nsga2,1.531691888,1.77008468,1.946154265,1.962738605,2.186592321,2.190643181,0.6749242138,1.347840819,1.181274857,0.2656032119,-0.02435715196,-1.484992669,0.9939033785,34.01667717,58.89584814,88.33936338,91.77800329,153.6711429,155.1112083,4.730686993,22.27618518,15.18010784,1.843330512,0.9454593216,0.03273462204,0.9939033785,0.0121656838,66188.1249,1207.266605,-25.26157754,-2.930918825,-0.3769617003,-0.2200407027
nsga2,1.637446553,1.806579258,1.630330014,1.806657937,1.997407711,2.291113263,1.119748506,1.229347167,0.7098264483,0.1959514306,-0.02133450534,-1.398926744,0.9998396826,43.39568545,64.05886766,42.69037936,64.07047403,99.40488133,195.4849211,13.17493574,16.95692765,5.126564765,1.570187192,0.9520625772,0.03990922146,0.9998396826,0.01516750102,66189.69596,619.9263461,-25.36757565,-2.920574627,-0.3811520444,-0.005430449869
nsga2,2.265620383,1.757005718,1.758098951,1.829511288,2.204499326,2.077805159,1.141551319,1.250435042,1.166478253,0.3348398465,-0.016626242,-1.363317495,0.9994802064,184.3403395,57.14861607,57.29265532,67.5322606,160.1398163,119.6203749,13.85323874,17.80061644,14.67162619,2.161921131,0.9624402074,0.04331940719,0.9994802064,0.01385087997,66184.27283,952.1954299,-25.31084469,-2.930351267,-0.3731890182,-0.09292004805
nsga2,1.570606192,2.009358655,2.068980961,1.969664166,2.193850582,2.190440633,1.291007926,1.345669002,0.4181496544,0.2693194341,-0.1431055586,-1.922235279,0.6763823252,37.2054183,102.1782958,117.214398,93.25329064,156.260994,155.0388839,19.54375123,22.16506462,2.619085369,1.859171418,0.7192741316,0.01196092372,0.6763823252,0.007582061569,66204.33994,3249.557979,-25.03175954,-2.943042701,-0.3285728976,-0.5718068067
nsga2,2.26966751,1.770059068,1.973394187,1.979538802,2.249678255,2.070669369,1.126300396,1.219341379,1.278034191,0.3654281208,-0.1515637364,-1.500896323,0.8885640383,186.0662092,58.89237495,94.05766366,95.39789712,177.696247,117.6709797,13.37520342,16.57071999,18.96855251,2.319680228,0.7054013128,0.03155757894,0.8885640383,0.01240323887,66186.10796,1823.71055,-25.04420885,-2.943043144,-0.433373715,-0.1994839987
nsga2,1.555845723,2.067549822,1.973394187,1.984681954,2.271147501,1.931369215,0.64206067,1.455056245,0.7714702662,0.3437900314,-0.1519101457,-1.639454072,0.889082066,35.96215618,116.8287747,94.05766366,96.5343672,186.7013682,85.38256836,4.385919639,28.51387527,5.908405125,2.206937486,0.704838883,0.02293749191,0.889082066,0.008023276849,66204.0181,1798.185895,-25.1636912,-2.941424252,-0.4317076934,-0.5389590069
